LSOA_Code,LSOA_Name,MSOA_Code,MSOA_Name,Year,Month,Month_Period,Crime_Count,Crime_per_Capita,Crime_Rate,Total_Population,pop_density,Total_Annual_Income_British_Pounds,income_per_capita,Income_Deprivation,LSOA_Latitude,LSOA_Longitude,LSOA_Shape_Area,LSOA_Shape_Length,Max_Temperature_Celsius,Min_Temperature_Celsius,Rainfall_mm,Sunshine_Hours,Air_Frost_Days,month_sin,month_cos,is_summer,is_winter,is_spring,is_autumn,crime_lag_1m,crime_lag_2m,crime_lag_3m,crime_lag_6m,crime_rolling_3m_mean,crime_rolling_3m_std,crime_rolling_6m_mean,crime_rolling_6m_std,msoa_avg_crime
E01000001,City of London 001A,E02000001,City of London 001,2024,1,2024-01,2,0.0009208103130755,0.9208103130755064,2172,0.3125561452707068,92208.0,42.45303867403315,0.646492763176925,51.52022,-0.09523,6949.15148162842,421.166161134957,8.4,2.5,50.6,71.4,8,0.4999999999999999,0.8660254037844387,0,1,0,0,1.0,2.0,2.0,2.0,1.6666666666666667,0.5773502691896247,1.6666666666666667,0.5163977794943194,27.666666666666668
E01000002,City of London 001B,E02000001,City of London 001,2024,1,2024-01,5,0.0024461839530332,2.446183953033268,2044,0.0413228298550038,92208.0,45.11154598825832,0.6243553236889829,51.51954,-0.09314,49464.1825637817,1123.87490087876,8.4,2.5,50.6,71.4,8,0.4999999999999999,0.8660254037844387,0,1,0,0,8.0,3.0,4.0,5.0,5.0,2.6457513110645943,4.666666666666667,1.7511900715418254,27.666666666666668
E01000003,City of London 001C,E02000001,City of London 001,2024,1,2024-01,3,0.0012274959083469,1.227495908346972,2444,1.1622175059985334,92208.0,37.728314238952535,0.6858356307775291,51.5225,-0.09741,2102.87660217285,215.271974793406,8.4,2.5,50.6,71.4,8,0.4999999999999999,0.8660254037844387,0,1,0,0,5.0,5.0,5.0,6.0,5.0,0.0,4.5,1.3784048752090228,27.666666666666668
E01000005,City of London 001E,E02000001,City of London 001,2024,1,2024-01,22,0.0092011710581346,9.201171058134673,2391,0.0157383101327457,92208.0,38.56461731493099,0.678871719623706,51.51438,-0.07629,151922.282623291,2248.80650244966,8.4,2.5,50.6,71.4,8,0.4999999999999999,0.8660254037844387,0,1,0,0,21.0,18.0,8.0,15.0,15.666666666666666,6.8068592855540455,16.833333333333332,5.913261931173575,27.666666666666668
E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,2024,1,2024-01,10,0.005181347150259,5.181347150259067,1930,0.0664594118964731,66790.0,34.60621761658031,0.7118333869933766,51.5405,0.086831,29040.2810516357,743.768154701026,8.4,2.5,50.6,71.4,8,0.4999999999999999,0.8660254037844387,0,1,0,0,9.0,5.0,8.0,9.0,7.333333333333333,2.081665999466136,8.5,4.230839160261239,16.6
E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,2024,1,2024-01,44,0.0142857142857142,14.285714285714285,3080,0.059024973106204,67278.0,21.84350649350649,0.8181087181453157,51.54101,0.075072,52181.3028945923,1538.26645280247,8.4,2.5,50.6,71.4,8,0.4999999999999999,0.8660254037844387,0,1,0,0,70.0,60.0,41.0,55.0,57.0,14.730919862656224,55.16666666666666,9.579491983746664,61.0
E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,2024,1,2024-01,29,0.0160664819944598,16.066481994459835,1805,0.1116540224338574,67278.0,37.27313019390581,0.6896259567244168,51.54155,0.070467,16166.0096130371,604.398862120584,8.4,2.5,50.6,71.4,8,0.4999999999999999,0.8660254037844387,0,1,0,0,33.0,39.0,25.0,58.0,32.333333333333336,7.023769168568497,39.66666666666666,13.90922954971505,61.0
E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,2024,1,2024-01,37,0.0196808510638297,19.680851063829788,1880,0.1085973348579591,66790.0,35.526595744680854,0.7041693813283068,51.54191,0.0829,17311.6587295532,539.421782977623,8.4,2.5,50.6,71.4,8,0.4999999999999999,0.8660254037844387,0,1,0,0,45.0,30.0,37.0,31.0,37.333333333333336,7.505553499465154,42.833333333333336,13.467244212037835,16.6
E01000011,Barking and Dagenham 016C,E02000017,Barking and Dagenham 016,2024,1,2024-01,12,0.0069044879171461,6.904487917146144,1738,0.0754412038754566,66790.0,38.42922899884925,0.67999910063131,51.54265,0.083511,23037.8083953857,771.713571407835,8.4,2.5,50.6,71.4,8,0.4999999999999999,0.8660254037844387,0,1,0,0,9.0,8.0,5.0,10.0,7.333333333333333,2.0816659994661206,7.166666666666667,2.3166067138525324,16.6
E01000012,Barking and Dagenham 015D,E02000016,Barking and Dagenham 015,2024,1,2024-01,20,0.0080840743734842,8.084074373484237,2474,0.1286565074076261,67278.0,27.19401778496362,0.7735549118381457,51.54311,0.070019,19229.4975967407,732.465942747179,8.4,2.5,50.6,71.4,8,0.4999999999999999,0.8660254037844387,0,1,0,0,27.0,16.0,17.0,28.0,20.0,6.082762530298219,21.166666666666668,5.115336417740935,61.0
